"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","BL3-A","BL3-H","BL3-W","Event","VL1-A","VL1-H","VL1-W","Time"
150,772,0,215,1023,0,314,380,305,661,775,305,305,686,568,305,0
99,710,0,187,1023,0,311,397,305,353,398,305,305,571,449,305,0
458,1023,0,527,1023,0,468,570,305,455,486,305,305,805,680,305,0
689,1023,0,748,1023,0,525,621,305,541,566,305,305,848,712,305,0
165,991,0,172,1023,0,348,410,305,363,395,305,306,630,482,305,0
325,1023,0,290,1023,0,437,551,305,431,479,305,306,751,633,305,0
445,1023,0,326,1023,0,210,326,305,137,320,305,306,738,626,305,0
673,1023,0,628,1023,0,364,422,305,350,383,305,306,778,649,305,0
413,1023,0,298,1023,0,377,457,305,383,420,305,306,734,617,305,0
481,1023,0,518,1023,0,462,553,305,458,476,305,306,811,697,305,0
373,1023,0,309,1023,0,468,599,305,469,530,305,306,777,660,305,0
518,1023,0,457,1023,0,493,614,305,515,578,305,306,801,662,305,0
246,1023,0,134,816,0,376,462,305,377,415,305,306,705,587,305,0
593,1023,0,509,1023,0,211,325,305,174,321,305,306,717,608,305,0
726,1023,0,644,1023,0,502,588,305,504,513,305,307,827,676,305,0
469,1023,0,362,1023,0,471,583,305,478,524,305,307,803,685,305,0
184,1023,0,186,1023,0,365,433,305,428,456,305,307,676,528,305,0
594,1023,0,363,1023,0,329,397,305,340,380,305,307,740,543,305,0
544,1023,0,621,1023,0,461,558,305,455,483,305,307,791,665,305,0
616,1023,0,472,1023,0,392,447,305,411,419,305,307,799,667,305,0
307,1023,0,257,1023,0,451,571,305,445,494,305,307,775,654,305,0
745,1023,0,584,1023,0,458,528,305,503,526,305,307,813,692,305,0
248,1023,0,480,1023,0,434,548,305,467,522,305,307,724,592,305,0
321,1023,0,240,1023,0,318,394,305,319,365,305,307,689,568,305,0
787,1023,0,747,1023,0,539,624,305,553,572,305,308,854,679,305,0
223,1023,0,165,1023,0,329,416,305,323,379,305,308,704,593,305,0
475,1023,0,474,1023,0,443,500,305,480,511,305,308,777,636,305,0
346,1023,0,243,1023,0,380,466,305,362,402,305,308,727,609,305,0
308,1023,0,236,1023,0,425,537,305,424,476,305,308,749,644,305,0
382,1023,0,299,1023,0,392,471,305,392,422,305,308,721,597,305,0
344,1023,0,386,1023,0,432,523,305,439,471,305,308,808,716,305,4
507,1023,0,392,1023,0,356,389,305,329,345,305,308,776,629,305,4
747,1023,0,765,1023,0,481,574,305,508,536,305,308,824,698,305,4
160,1009,0,125,804,0,190,326,305,610,734,305,309,709,616,305,4
233,1023,0,174,1023,0,168,322,305,132,317,305,309,663,548,305,4
266,1023,0,125,733,0,338,414,305,331,385,305,309,676,547,305,4
240,1023,0,200,1023,0,397,494,305,378,415,305,309,730,613,305,4
793,1023,0,753,1023,0,391,431,305,383,384,305,309,788,661,305,4
301,1023,0,197,1023,0,160,321,305,119,318,305,309,662,549,305,4
260,1023,0,365,1023,0,502,638,305,532,603,305,309,780,661,305,4
198,915,0,270,1023,0,330,392,305,456,484,305,309,631,450,305,4
286,1023,0,464,1023,0,374,450,305,586,703,305,309,732,620,305,4
480,1023,0,359,1023,0,319,394,305,293,357,305,309,725,603,305,4
457,1023,0,308,1023,0,449,562,305,460,510,305,310,772,658,305,4
412,1023,0,449,1023,0,496,616,305,494,542,305,310,819,702,305,4
398,1023,0,430,1023,0,304,373,305,278,341,305,310,737,623,305,4
418,1023,0,258,1023,0,416,516,305,423,455,305,310,757,637,305,4
374,1023,0,350,1023,0,476,604,305,471,525,305,310,801,688,305,4
707,1023,0,611,1023,0,508,609,305,525,554,305,310,834,673,305,4
302,1023,0,448,1023,0,377,461,305,401,439,305,310,766,663,305,4
510,1023,0,465,1023,0,447,504,305,431,422,305,310,788,636,305,4
458,1023,0,413,1023,0,458,559,305,461,486,305,311,798,677,305,4
679,1023,0,598,1023,0,459,500,305,449,416,305,311,808,635,305,4
485,1023,0,406,1023,0,454,541,305,449,471,305,311,794,668,305,4
611,1023,0,702,1023,0,424,501,305,413,426,305,311,794,675,305,4
826,1023,0,620,1023,0,443,499,305,431,414,305,311,802,664,305,4
560,1023,0,614,1023,0,515,631,305,511,553,305,311,830,693,305,4
428,1023,0,254,1023,0,387,475,305,367,407,305,311,725,590,305,4
410,1023,0,347,1023,0,464,588,305,467,521,305,311,771,648,305,7
308,1023,0,343,1023,0,489,619,305,502,568,305,312,787,672,305,7
166,981,0,223,1023,0,358,432,305,400,433,305,312,637,489,305,7
558,1023,0,658,1023,0,476,570,305,470,494,305,312,839,727,305,7
811,1023,0,639,1023,0,370,439,305,360,393,305,312,775,646,305,7
237,1023,0,147,946,0,390,493,305,399,451,305,312,692,568,305,7
423,1023,0,455,1023,0,487,594,305,501,543,305,312,797,656,305,7
510,1023,0,384,1023,0,410,501,305,389,419,305,312,768,644,305,7
282,1023,0,198,1023,0,283,361,305,269,342,305,312,672,549,305,7
710,1023,0,592,1023,0,407,440,305,398,381,305,312,787,605,305,7
379,1023,0,259,1023,0,419,525,305,399,432,305,313,770,661,305,7
198,1023,0,259,1023,0,427,530,305,468,510,305,313,705,570,305,7
204,1023,0,251,1023,0,343,419,305,679,787,305,313,783,685,305,7
413,1023,0,339,1023,0,202,327,305,244,326,305,313,700,596,305,7
136,662,0,213,1023,0,316,376,305,650,697,305,313,722,538,305,11
242,1023,0,381,1023,0,351,419,305,409,441,305,313,633,480,305,11
626,1023,0,608,1023,0,510,593,305,518,516,305,314,831,687,305,11
302,1023,0,176,1023,0,356,416,305,335,368,305,314,623,466,305,11
744,1023,0,652,1023,0,566,689,305,593,648,305,314,884,736,305,11
510,1023,0,498,1023,0,509,625,305,520,569,305,314,830,693,305,11
553,1023,0,484,1023,0,255,342,305,242,333,305,314,737,617,305,11
611,1023,0,562,1023,0,563,660,305,607,638,305,314,848,706,305,11
274,1023,0,200,1023,0,353,430,305,316,365,305,314,732,621,305,11
233,1023,0,153,978,0,357,431,305,323,368,305,314,679,559,305,11
157,989,0,264,1023,0,335,404,305,368,388,305,314,631,490,305,11
334,1023,0,219,1023,0,401,485,305,384,411,305,315,732,609,305,11
598,1023,0,557,1023,0,458,505,305,451,436,305,315,798,627,305,11
312,1023,0,238,1023,0,414,516,305,416,452,305,315,731,602,305,11
216,1023,0,121,844,0,387,496,305,372,425,305,315,685,570,305,11
465,1023,0,267,1023,0,321,388,305,286,352,305,315,724,615,305,15
274,1023,0,157,1023,0,326,400,305,285,346,305,316,698,581,305,15
355,1023,0,230,1023,0,407,504,305,398,437,305,316,755,642,305,15
335,1023,0,370,1023,0,388,469,305,526,594,305,316,651,501,305,15
367,1023,0,200,1023,0,304,389,305,293,350,305,316,716,609,305,15
163,1023,0,197,1023,0,301,386,305,429,486,305,316,572,454,305,15
136,736,0,228,1023,0,360,428,305,443,484,305,316,635,489,305,15
378,1023,0,295,1023,0,445,545,305,436,466,305,317,775,656,305,15
209,1023,0,119,818,0,177,326,305,182,319,305,317,579,464,305,15
451,1023,0,509,1023,0,375,447,305,354,385,305,317,737,607,305,15
242,1023,0,124,921,0,308,390,305,278,354,305,317,625,502,305,15
259,1023,0,132,835,0,296,383,305,268,349,305,318,687,584,305,18
352,1023,0,207,1023,0,315,386,305,301,354,305,318,684,551,305,18
397,1023,0,174,1023,0,284,372,305,263,340,305,318,682,560,305,18
514,1023,0,528,1023,0,486,590,305,500,532,305,318,829,686,305,18
144,864,0,208,1023,0,355,441,305,440,496,305,318,610,467,305,18
144,661,0,244,1023,0,390,447,305,413,427,305,318,671,492,305,18
166,1023,0,351,1023,0,448,556,305,489,555,305,318,727,608,305,18
275,1023,0,535,1023,0,465,519,305,644,720,305,318,791,640,305,18
102,695,0,206,1023,0,342,420,305,406,452,305,319,590,455,305,18
479,1023,0,262,1023,0,229,335,305,211,324,305,319,635,480,305,18
500,1023,0,384,1023,0,281,360,305,239,337,305,319,736,608,305,18
550,1023,0,451,1023,0,475,589,305,494,551,305,319,795,680,305,18
373,1023,0,294,1023,0,508,627,305,531,587,305,319,813,685,305,18
354,1023,0,234,1023,0,419,519,305,403,437,305,319,745,625,305,18
157,1023,0,145,1023,0,347,437,305,324,377,305,319,670,561,305,18
224,1023,0,238,1023,0,318,397,305,517,577,305,319,666,508,305,18
637,1023,0,667,1023,0,513,591,305,529,540,305,319,819,670,305,18
451,1023,0,519,1023,0,536,679,305,566,645,305,320,835,701,305,18
327,1023,0,286,1023,0,506,639,305,528,598,305,320,791,674,305,18
441,1023,0,518,1023,0,486,601,305,552,609,305,320,787,662,305,18
502,1023,0,596,1023,0,488,601,305,482,518,305,320,840,722,305,18
564,1023,0,527,1023,0,470,575,305,461,493,305,320,805,680,305,18
376,1023,0,332,1023,0,405,502,305,389,424,305,320,778,672,305,18
163,957,0,199,1023,0,276,364,305,537,619,305,320,625,482,305,18
364,1023,0,632,1023,0,528,653,305,550,611,305,320,819,692,305,22
742,1023,0,718,1023,0,515,622,305,522,554,305,320,838,693,305,22
274,1023,0,311,1023,0,448,579,305,442,497,305,320,763,650,305,22
303,1023,0,425,1023,0,478,577,305,518,562,305,321,766,625,305,22
405,1023,0,407,1023,0,469,569,305,476,508,305,321,781,652,305,22
659,1023,0,640,1023,0,446,548,305,440,468,305,321,795,648,305,22
423,1023,0,265,1023,0,408,506,305,409,443,305,321,757,640,305,22
229,1023,0,100,707,0,442,579,305,458,530,305,321,726,616,305,22
605,1023,0,543,1023,0,335,407,305,328,362,305,322,769,649,305,22
238,1023,0,147,924,0,359,441,305,341,383,305,322,711,596,305,22
587,1023,0,363,1023,0,414,521,305,429,482,305,322,770,650,305,22
461,1023,0,401,1023,0,484,536,305,511,519,305,322,821,679,305,22
516,1023,0,515,1023,0,522,640,305,536,585,305,322,813,684,305,22
696,1023,0,605,1023,0,521,625,305,542,583,305,323,838,674,305,22
388,1023,0,233,1023,0,410,509,305,417,457,305,323,719,604,305,22
555,1023,0,598,1023,0,553,669,305,576,625,305,323,867,723,305,26
203,1023,0,128,923,0,239,345,305,212,329,305,323,596,488,305,26
352,1023,0,218,1023,0,376,460,305,360,400,305,323,727,606,305,26
625,1023,0,468,1023,0,341,400,305,313,355,305,323,748,620,305,26
140,993,0,165,1023,0,376,474,305,425,486,305,323,653,531,305,26
375,1023,0,314,1023,0,469,585,305,481,534,305,323,792,678,305,26
387,1023,0,263,1023,0,242,346,305,240,334,305,324,712,574,305,26
250,1023,0,146,890,0,286,370,305,261,341,305,324,656,545,305,26
629,1023,0,396,1023,0,502,602,305,505,531,305,324,817,662,305,26
288,1023,0,233,1023,0,402,497,305,396,424,305,324,739,621,305,26
623,1023,0,699,1023,0,485,566,305,474,476,305,324,826,691,305,26
449,1023,0,501,1023,0,512,606,305,521,544,305,324,822,682,305,26
748,1023,0,742,1023,0,540,637,305,547,572,305,325,860,709,305,26
345,1023,0,179,1023,0,263,364,305,286,355,305,325,670,552,305,26
551,1023,0,468,1023,0,476,560,305,475,479,305,325,814,673,305,26
232,1023,0,150,1003,0,187,325,305,167,317,305,325,636,517,305,26
345,1023,0,234,1023,0,341,410,305,333,365,305,325,723,617,305,26
559,1023,0,629,1023,0,502,602,305,511,535,305,325,818,692,305,26
226,993,0,291,1023,0,347,385,305,429,433,305,325,649,472,305,26
561,1023,0,498,1023,0,337,393,305,318,358,305,326,751,637,305,30
673,1023,0,449,1023,0,415,480,305,413,425,305,326,779,668,305,30
219,1023,0,156,1023,0,340,417,305,351,394,305,326,650,531,305,30
337,1023,0,243,1023,0,427,534,305,416,461,305,326,750,640,305,30
433,1023,0,685,1023,0,465,568,305,519,567,305,326,787,649,305,30
528,1023,0,454,1023,0,466,561,305,465,492,305,326,812,688,305,30
555,1023,0,484,1023,0,489,588,305,503,542,305,326,813,653,305,30
488,1023,0,486,1023,0,447,545,305,436,458,305,326,772,643,305,30
199,1023,0,115,774,0,411,504,305,407,438,305,326,705,589,305,30
501,1023,0,408,1023,0,356,381,305,344,354,305,327,747,564,305,30
603,1023,0,709,1023,0,498,558,305,499,493,305,327,824,676,305,30
709,1023,0,435,1023,0,396,442,305,398,414,305,327,786,620,305,30
364,1023,0,359,1023,0,423,513,305,418,442,305,327,778,657,305,30
183,997,0,293,1023,0,385,442,305,543,610,305,328,666,514,305,30
186,1023,0,133,985,0,450,576,305,455,513,305,328,738,629,305,30
453,1023,0,366,1023,0,420,487,305,418,435,305,328,759,597,305,30
420,1023,0,365,1023,0,479,613,305,487,552,305,328,790,676,305,33
394,1023,0,482,1023,0,482,615,305,503,569,305,328,817,709,305,33
378,1023,0,417,1023,0,412,509,305,403,437,305,328,784,679,305,33
323,1023,0,143,786,0,178,321,305,327,354,305,329,578,436,305,33
560,1023,0,427,1023,0,478,593,305,469,509,305,329,799,677,305,33
153,1023,0,179,1023,0,338,426,305,386,435,305,329,582,458,305,33
437,1023,0,678,1023,0,469,585,305,460,500,305,330,800,678,305,33
460,1023,0,496,1023,0,353,421,305,365,397,305,330,701,545,305,33
342,1023,0,293,1023,0,536,685,305,567,652,305,330,803,692,305,33
501,1023,0,419,1023,0,515,662,305,539,623,305,330,810,697,305,33
448,1023,0,380,1023,0,149,314,305,498,526,305,330,710,582,305,33
258,1023,0,214,1023,0,409,510,305,380,420,305,331,740,626,305,33
742,1023,0,746,1023,0,553,609,305,575,552,305,331,862,673,305,33
515,1023,0,390,1023,0,417,508,305,413,453,305,331,755,587,305,33
279,1023,0,292,1023,0,355,440,305,335,384,305,331,725,622,305,37
331,1023,0,181,1023,0,381,470,305,388,431,305,331,711,594,305,37
829,1023,0,699,1023,0,504,624,305,506,552,305,331,831,697,305,37
242,1023,0,156,1023,0,370,469,305,382,426,305,331,679,559,305,37
458,1023,0,562,1023,0,520,642,305,531,585,305,331,839,717,305,37
129,760,0,138,853,0,353,429,305,385,415,305,332,613,468,305,37
610,1023,0,457,1023,0,468,573,305,467,504,305,332,794,673,305,37
721,1023,0,656,1023,0,555,659,305,577,614,305,332,854,711,305,37
448,1023,0,294,1023,0,391,467,305,400,426,305,332,767,650,305,37
289,1023,0,223,1023,0,444,568,305,464,528,305,332,746,634,305,37
591,1023,0,602,1023,0,473,581,305,464,499,305,333,805,667,305,37
294,1023,0,261,1023,0,262,350,305,288,346,305,333,690,563,305,37
217,1023,0,297,1023,0,396,488,305,437,491,305,333,670,541,305,37
549,1023,0,452,1023,0,531,652,305,547,599,305,333,865,726,305,41
230,1023,0,470,1023,0,359,406,305,402,420,305,333,656,508,305,41
127,820,0,177,1023,0,339,413,305,427,476,305,333,638,499,305,41
203,1023,0,125,851,0,315,396,305,268,353,305,334,653,524,305,41
258,1023,0,194,1023,0,430,544,305,454,515,305,334,738,624,305,41
210,1023,0,360,1023,0,361,431,305,417,452,305,334,637,487,305,41
420,1023,0,582,1023,0,432,520,305,547,594,305,334,776,634,305,41
157,1014,0,248,1023,0,402,504,305,430,473,305,334,673,546,305,41
181,1023,0,319,1023,0,399,498,305,407,448,305,334,728,625,305,41
197,1011,0,298,1023,0,413,503,305,465,507,305,334,692,542,305,41
687,1023,0,506,1023,0,439,516,305,425,429,305,334,789,666,305,41
354,1023,0,358,1023,0,360,427,305,331,370,305,334,743,638,305,41
671,1023,0,499,1023,0,458,516,305,465,448,305,335,815,661,305,41
204,1023,0,195,1023,0,369,436,305,411,444,305,335,649,533,305,41
396,1023,0,308,1023,0,455,539,305,457,480,305,335,794,671,305,41
672,1023,0,665,1023,0,512,625,305,511,548,305,335,849,715,305,41
277,1023,0,480,1023,0,493,582,305,530,553,305,335,791,641,305,41
183,1023,0,263,1023,0,355,438,305,420,473,305,336,643,512,305,41
431,1023,0,310,1023,0,467,592,305,475,532,305,336,778,665,305,44
365,1023,0,191,1023,0,349,430,305,332,382,305,336,714,603,305,44
612,1023,0,462,1023,0,417,507,305,413,441,305,336,781,657,305,44
576,1023,0,655,1023,0,437,484,305,414,401,305,336,805,667,305,44
185,1023,0,337,1023,0,216,331,305,616,723,305,336,715,605,305,44
258,1023,0,177,1023,0,396,498,305,401,449,305,336,724,614,305,44
164,1002,0,90,660,0,338,429,305,324,375,305,337,677,560,305,44
579,1023,0,745,1023,0,497,597,305,506,535,305,337,827,699,305,44
212,1023,0,165,1023,0,454,607,305,482,581,305,337,714,603,305,44
331,1023,0,207,1023,0,419,501,305,418,439,305,337,756,636,305,44
107,495,0,166,881,0,312,359,305,404,412,305,337,553,383,305,44
697,1023,0,495,1023,0,468,507,305,475,439,305,338,831,702,305,44
503,1023,0,639,1023,0,477,570,305,466,485,305,338,826,707,305,44
433,1023,0,416,1023,0,494,610,305,508,556,305,338,792,667,305,44
253,1023,0,238,1023,0,376,453,305,337,379,305,338,734,618,305,44
514,1023,0,573,1023,0,534,658,305,547,601,305,338,841,708,305,48
248,1023,0,302,1023,0,395,492,305,419,468,305,338,688,566,305,48
328,1023,0,231,1023,0,488,626,305,494,564,305,339,787,675,305,48
185,1023,0,292,1023,0,365,440,305,430,477,305,339,637,494,305,48
593,1023,0,481,1023,0,393,459,305,389,394,305,339,718,562,305,48
561,1023,0,329,1023,0,276,339,305,291,332,305,339,748,570,305,48
348,1023,0,376,1023,0,384,478,305,381,415,305,339,746,631,305,48
193,1023,0,66,499,0,333,417,305,337,391,305,339,658,541,305,48
357,1023,0,85,615,0,358,449,305,332,380,305,339,651,535,305,48
368,1023,0,222,1023,0,161,327,305,84,316,305,339,655,536,305,48
232,1023,0,148,959,0,305,387,305,279,346,305,339,682,574,305,48
298,1023,0,157,966,0,344,418,305,316,373,305,339,704,592,305,48
