"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","BL3-A","BL3-H","BL3-W","Event","VL1-A","VL1-H","VL1-W","Time"
391,1023,0,341,1023,0,354,412,305,267,340,305,305,730,616,305,0
674,1023,0,625,1023,0,616,712,305,557,555,305,305,863,698,305,0
336,1023,0,298,1023,0,490,611,305,448,492,305,306,792,679,305,0
297,1023,0,231,988,0,529,643,305,468,507,305,306,771,629,305,0
263,1000,0,393,1023,0,403,431,305,689,746,305,306,761,603,305,0
312,1023,0,238,1023,0,449,569,305,444,494,305,306,777,664,305,0
292,1023,0,204,1023,0,647,807,305,417,457,305,306,732,616,305,0
376,1023,0,233,1023,0,251,341,305,186,322,305,306,720,607,305,0
380,1023,0,635,1023,0,741,886,305,603,668,305,307,844,721,305,0
368,1023,0,352,1023,0,715,869,305,568,643,305,307,816,692,305,4
336,1023,0,217,1023,0,655,812,305,451,496,305,307,762,654,305,4
350,1023,0,267,1023,0,429,526,305,422,464,305,307,787,678,305,4
358,1023,0,205,1023,0,387,475,305,369,408,305,308,755,649,305,4
244,1023,0,194,1023,0,458,581,305,334,377,305,308,754,655,305,4
200,998,0,361,1023,0,454,554,305,494,538,305,308,721,583,305,4
581,1023,0,427,1023,0,282,346,305,276,335,305,308,784,678,305,4
309,1023,0,262,1023,0,566,716,305,398,436,305,308,758,652,305,4
446,1023,0,296,1023,0,432,551,305,427,479,305,308,785,669,305,7
755,1023,0,683,1023,0,655,752,305,571,584,305,308,887,730,305,7
181,1023,0,242,1023,0,343,413,305,393,430,305,308,645,500,305,7
279,1023,0,183,1023,0,436,539,305,370,408,305,309,750,645,305,7
679,1023,0,649,1023,0,740,891,305,546,578,305,309,797,642,305,7
238,1023,0,296,1023,0,629,786,305,496,568,305,309,754,641,305,7
350,1023,0,476,1023,0,532,660,305,480,517,305,309,820,714,305,7
273,1023,0,252,1023,0,354,425,305,252,337,305,309,664,546,305,7
313,1023,0,226,1023,0,740,907,305,512,584,305,309,734,631,305,7
397,1023,0,251,1023,0,680,837,305,446,479,305,309,733,618,305,7
280,1023,0,120,849,0,469,604,305,451,520,305,309,731,623,305,7
430,1023,0,299,1023,0,699,861,305,547,631,305,309,805,697,305,7
241,1023,0,457,1023,0,371,430,305,652,761,305,309,762,644,305,7
559,1023,0,525,1023,0,270,344,305,252,324,305,309,752,639,305,7
275,1023,0,164,1013,0,569,725,305,393,433,305,310,730,629,305,7
280,1023,0,257,1023,0,732,896,305,525,593,305,310,784,683,305,7
740,1023,0,755,1023,0,668,831,305,520,509,305,310,858,716,305,7
514,1023,0,436,1023,0,404,490,305,381,413,305,310,804,657,305,7
641,1023,0,607,1023,0,709,840,305,605,627,305,310,865,705,305,7
560,1023,0,435,1023,0,386,474,305,358,398,305,310,783,679,305,7
353,1023,0,303,1023,0,392,402,305,637,713,305,310,748,594,305,7
274,1023,0,245,1023,0,697,860,305,532,609,305,310,775,653,305,7
308,1023,0,377,1023,0,707,865,305,496,554,305,310,774,671,305,7
289,1023,0,179,1023,0,394,463,305,438,477,305,310,687,545,305,7
267,1023,0,187,1023,0,496,630,305,378,418,305,310,756,644,305,11
325,1023,0,278,1023,0,405,500,305,400,437,305,311,760,654,305,11
661,1023,0,481,1023,0,247,341,305,200,330,305,311,762,657,305,11
240,1023,0,182,1023,0,427,540,305,435,484,305,311,727,610,305,11
306,1023,0,313,1023,0,689,847,305,493,550,305,311,779,666,305,11
648,1023,0,704,1023,0,806,922,306,626,651,305,312,868,721,305,11
209,1023,0,113,837,0,385,485,305,337,388,305,312,716,608,305,11
192,900,0,379,1023,0,386,459,305,494,530,305,312,687,524,305,15
497,1023,0,274,1023,0,655,763,305,434,410,305,312,786,623,305,15
589,1023,0,364,1023,0,554,667,305,429,404,305,312,813,653,305,15
549,1023,0,539,1023,0,562,660,305,568,634,305,312,839,690,305,15
469,1023,0,332,1023,0,708,840,305,498,508,305,312,799,687,305,15
219,1023,0,146,984,0,424,539,305,330,376,305,313,725,614,305,15
382,1023,0,545,1023,0,758,908,305,602,671,305,313,823,704,305,15
308,1023,0,201,1023,0,475,600,305,446,500,305,313,783,669,305,15
436,1023,0,452,1023,0,738,869,305,550,583,305,313,818,698,305,15
547,1023,0,483,1023,0,532,662,305,551,611,305,313,845,731,305,15
233,1023,0,105,820,0,331,400,305,300,371,305,313,637,510,305,15
309,1023,0,216,1023,0,672,835,305,482,544,305,313,772,663,305,15
189,1023,0,104,768,0,440,576,305,437,511,305,313,705,599,305,15
212,1023,0,391,1023,0,374,437,305,704,770,305,313,801,669,305,15
256,1023,0,201,1023,0,478,612,305,434,488,305,314,730,613,305,19
498,1023,0,378,1023,0,621,755,305,473,502,305,314,805,674,305,19
278,1023,0,195,1023,0,697,867,305,460,516,305,314,707,607,305,19
493,1023,0,320,1023,0,414,464,305,352,382,305,314,797,652,305,19
818,1023,0,675,1023,0,811,934,306,588,615,305,314,806,695,305,19
289,1023,0,190,1023,0,747,901,305,515,570,305,314,744,638,305,19
345,1023,0,271,1023,0,279,362,305,230,340,305,314,728,617,305,19
704,1023,0,560,1023,0,541,625,305,434,416,305,314,826,672,305,19
163,1020,0,202,1023,0,337,408,305,394,426,305,314,651,512,305,19
144,1000,0,277,1023,0,332,421,305,375,429,305,314,598,462,305,19
699,1023,0,719,1023,0,818,931,306,614,633,305,314,871,714,305,19
644,1023,0,763,1023,0,746,881,305,617,675,305,314,864,730,305,19
118,596,0,202,1023,0,310,361,305,647,741,305,314,740,621,305,19
369,1023,0,210,1023,0,212,324,305,192,320,305,315,752,648,305,19
364,1023,0,431,1023,0,750,902,305,574,644,305,315,836,720,305,19
479,1023,0,317,1023,0,188,318,305,181,315,305,315,683,567,305,22
532,1023,0,355,1023,0,692,849,305,495,529,305,315,819,663,305,22
225,1023,0,146,988,0,83,314,305,0,309,305,316,666,546,305,22
563,1023,0,447,1023,0,711,857,305,516,558,305,316,813,666,305,22
337,1023,0,200,1023,0,198,330,305,216,322,305,316,737,631,305,22
682,1023,0,630,1023,0,796,925,306,630,683,305,316,851,703,305,22
586,1023,0,402,1023,0,205,329,305,215,319,305,316,736,609,305,22
380,1023,0,317,1023,0,746,900,305,557,627,305,317,810,703,305,22
321,1023,0,168,958,0,296,375,305,277,340,305,317,730,619,305,26
116,832,0,176,1023,0,411,528,305,428,494,305,317,681,571,305,26
287,1023,0,189,1023,0,449,570,305,290,352,305,317,731,631,305,26
113,709,0,136,981,0,269,365,305,322,368,305,317,600,443,305,26
514,1023,0,346,1023,0,734,872,305,518,552,305,317,791,681,305,26
669,1023,0,641,1023,0,798,920,306,605,633,305,317,850,728,305,26
436,1023,0,199,1023,0,454,568,305,420,471,305,318,760,650,305,26
393,1023,0,439,1023,0,773,920,306,565,621,305,318,811,689,305,26
149,949,0,163,1023,0,370,442,305,416,442,305,318,634,505,305,30
303,1023,0,219,1023,0,681,833,305,451,479,305,318,738,639,305,30
473,1023,0,412,1023,0,235,345,305,222,330,305,319,734,622,305,30
512,1023,0,408,1023,0,469,593,305,481,547,305,319,801,673,305,30
339,1023,0,123,818,0,514,647,305,327,373,305,319,725,622,305,30
171,1023,0,152,1023,0,335,411,305,315,370,305,319,658,539,305,30
508,1023,0,333,1023,0,753,920,305,532,607,305,319,794,687,305,30
301,1023,0,168,882,0,701,857,305,472,519,305,319,741,634,305,30
474,1023,0,389,1023,0,816,958,306,589,642,305,319,761,659,305,30
357,1023,0,313,1023,0,712,869,305,515,568,305,319,786,671,305,30
419,1023,0,288,1023,0,718,863,305,488,519,305,319,780,674,305,30
655,1023,0,782,1023,0,696,809,305,589,626,305,319,860,705,305,30
597,1023,0,542,1023,0,747,881,305,521,547,305,319,777,660,305,30
324,1023,0,176,1023,0,366,448,305,476,523,305,320,788,697,305,34
239,1023,0,148,1008,0,641,809,305,408,450,305,320,644,530,305,34
298,1023,0,246,1023,0,658,811,305,457,497,305,320,781,678,305,34
257,1023,0,194,1023,0,404,502,305,412,447,305,320,751,644,305,34
477,1023,0,337,1023,0,485,559,305,376,381,305,320,785,661,305,34
260,1023,0,129,791,0,430,540,305,162,324,305,320,674,559,305,34
728,1023,0,512,1023,0,437,542,305,456,500,305,320,817,706,305,34
428,1023,0,605,1023,0,641,780,305,543,602,305,321,847,738,305,34
339,1023,0,265,1023,0,662,816,305,534,604,305,321,801,699,305,34
604,1023,0,450,1023,0,827,941,306,626,654,305,321,823,684,305,34
350,1023,0,226,1023,0,423,511,305,274,336,305,321,723,602,305,34
668,1023,0,555,1023,0,785,898,305,579,581,305,321,838,672,305,34
449,1023,0,453,1023,0,250,334,305,230,331,305,321,757,646,305,34
295,1023,0,172,1021,0,501,634,305,446,499,305,322,772,665,305,34
395,1023,0,513,1023,0,737,882,305,575,634,305,322,835,707,305,37
557,1023,0,509,1023,0,569,683,305,461,447,305,322,842,677,305,37
361,1023,0,258,1023,0,638,785,305,475,522,305,322,787,682,305,37
137,925,0,123,782,0,266,357,305,428,493,305,322,554,431,305,37
