"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","BL2-A","BL2-H","BL2-W","BL3-A","BL3-H","BL3-W","Event","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","VL3-A","VL3-H","VL3-W","Time"
518,1023,0,399,1023,0,216,354,305,511,495,305,394,352,305,305,445,429,305,708,688,306,452,435,305,0
730,1023,0,690,1023,0,870,1023,307,1023,1023,307,796,816,307,305,581,537,305,999,955,308,806,757,306,0
507,1023,0,487,1023,0,644,864,307,961,916,307,586,539,305,305,512,485,305,813,783,306,604,572,306,0
686,1023,0,502,1023,0,620,837,306,935,891,307,567,501,305,305,500,463,305,792,759,306,572,531,305,0
546,1023,0,539,1023,0,290,384,305,561,529,305,461,380,305,305,501,463,305,743,720,306,503,476,305,0
704,1023,0,462,1023,0,643,861,307,961,915,307,583,527,305,306,496,466,305,806,769,306,570,516,305,0
573,1023,0,397,1023,0,300,359,305,581,478,305,412,348,305,306,453,418,305,715,685,306,450,416,305,0
769,1023,0,682,1023,0,581,777,306,892,834,307,547,459,305,306,541,485,305,802,765,306,587,541,305,0
784,1023,0,853,1023,0,634,847,307,958,910,307,613,592,306,306,567,507,305,841,804,306,653,613,306,0
592,1023,0,428,1023,0,596,816,306,910,873,306,521,452,305,306,443,413,305,751,723,306,504,467,305,0
581,1023,0,607,1023,0,286,363,305,651,555,305,578,494,305,306,527,464,305,775,730,306,578,506,305,0
679,1023,0,524,1023,0,258,360,305,503,489,305,423,355,305,306,446,413,305,715,686,306,476,436,305,0
644,1023,0,637,1023,0,272,370,305,573,525,305,428,345,305,306,491,435,305,730,698,306,487,457,305,0
604,1023,0,561,1023,0,272,365,305,571,512,305,485,412,305,306,517,470,305,770,742,306,572,539,305,0
693,1023,0,600,1023,0,265,374,305,616,563,305,519,465,305,307,492,455,305,758,729,306,650,632,306,0
723,1023,0,662,1023,0,258,381,305,621,577,306,477,384,305,307,493,442,305,749,712,306,530,494,305,0
479,1023,0,391,1023,0,663,899,306,981,948,307,596,574,306,307,481,464,305,812,790,306,599,563,305,0
556,1023,0,360,1023,0,695,937,306,1017,988,307,627,621,306,307,483,463,305,832,810,306,616,582,306,0
563,1023,0,615,1023,0,510,708,306,818,775,306,517,434,305,307,514,481,305,773,747,306,553,514,305,0
572,1023,0,421,1023,0,252,358,305,583,547,305,432,352,305,307,421,409,305,721,690,306,489,444,305,0
457,1023,0,286,1023,0,224,331,305,468,418,305,366,326,305,307,371,370,305,657,632,306,423,392,305,0
632,1023,0,579,1023,0,273,381,305,584,528,305,489,426,305,307,520,483,305,774,744,306,543,508,305,0
582,1023,0,515,1023,0,834,1023,307,1023,1023,307,760,783,306,307,569,534,305,959,923,307,761,720,306,0
468,1023,0,379,1023,0,308,382,305,600,534,305,437,361,305,307,388,385,305,690,668,306,454,420,305,0
550,1023,0,453,1023,0,265,364,305,534,483,305,429,344,305,307,449,418,305,710,675,306,479,439,305,0
691,1023,0,419,1023,0,789,1023,307,1023,1023,307,711,720,306,307,501,440,305,905,866,307,701,657,306,0
653,1023,0,511,1023,0,298,406,305,624,599,306,448,377,305,307,480,433,305,746,717,306,516,472,305,0
478,1023,0,270,1023,0,228,341,305,495,449,305,387,339,305,307,373,363,305,646,618,306,391,388,305,0
