"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","BL2-A","Event","VL1-A","VL1-H","VL1-W","Time"
289,1023,0,175,1023,0,423,442,305,400,306,740,730,305,0
503,1023,0,272,1023,0,501,576,305,477,306,767,744,305,0
422,1023,0,354,1023,0,429,466,305,475,306,809,786,305,0
813,1023,0,628,1023,0,455,460,305,481,307,777,740,305,0
560,1023,0,616,1023,0,629,746,305,607,307,790,769,305,0
516,1023,0,333,1023,0,366,389,305,420,307,790,778,305,0
436,1023,0,265,1023,0,755,948,306,745,308,761,752,305,0
640,1023,0,526,1023,0,793,982,306,788,308,799,773,305,0
458,1023,0,294,1023,0,428,440,305,383,308,771,754,305,0
523,1023,0,353,1023,0,379,423,305,403,308,766,744,305,0
466,1023,0,252,1023,0,458,488,305,454,309,763,745,305,0
371,1023,0,241,1023,0,582,740,305,561,309,557,519,305,0
263,1023,0,205,1023,0,629,772,305,611,310,480,413,305,3
561,1023,0,601,1023,0,690,833,305,672,311,791,764,305,3
421,1023,0,387,1023,0,812,1023,306,808,312,751,727,305,3
322,1023,0,147,1023,0,429,470,305,416,312,453,448,305,3
429,1023,0,342,1023,0,624,790,305,600,312,813,790,305,3
418,1023,0,224,1023,0,358,379,305,382,312,758,738,305,3
726,1023,0,601,1023,0,843,1023,307,841,313,804,781,305,3
662,1023,0,276,1023,0,661,792,305,640,313,808,735,305,7
379,1023,0,158,1023,0,603,764,305,575,314,764,758,305,7
805,1023,0,655,1023,0,631,756,305,606,314,792,768,305,7
394,1023,0,245,1023,0,691,873,305,673,315,758,745,305,7
690,1023,0,441,1023,0,748,934,306,736,315,817,795,305,7
517,1023,0,254,1023,0,555,679,305,534,315,780,766,305,7
562,1023,0,224,1023,0,536,625,305,506,315,773,729,305,7
222,1023,0,162,1023,0,333,363,305,380,315,364,359,305,7
582,1023,0,411,1023,0,686,858,305,663,315,777,757,305,7
284,1023,0,207,1023,0,358,362,305,394,316,448,440,305,7
496,1023,0,313,1023,0,375,395,305,413,316,772,763,305,7
349,1023,0,208,1023,0,644,822,305,623,317,764,752,305,7
496,1023,0,275,1023,0,584,725,305,557,317,817,797,305,7
586,1023,0,562,1023,0,596,704,305,573,317,784,757,305,10
523,1023,0,417,1023,0,607,732,305,586,317,744,715,305,10
482,1023,0,274,1023,0,393,395,305,425,317,759,749,305,10
220,1023,0,196,1023,0,641,815,305,622,318,453,421,305,10
731,1023,0,647,1023,0,622,741,305,600,318,786,746,305,10
372,1023,0,316,1023,0,739,921,306,729,318,777,726,305,10
247,1023,0,104,899,0,237,337,305,327,319,424,405,305,10
418,1023,0,299,1023,0,572,710,305,550,319,756,739,305,10
412,1023,0,198,1023,0,834,1023,306,833,319,767,759,305,10
384,1023,0,144,992,0,753,967,306,743,320,763,756,305,10
628,1023,0,319,1023,0,409,419,305,431,321,604,561,305,13
735,1023,0,468,1023,0,436,435,305,467,321,829,816,305,13
511,1023,0,222,1023,0,622,777,305,597,321,775,765,305,13
598,1023,0,470,1023,0,442,453,305,445,321,803,769,305,13
572,1023,0,309,1023,0,397,431,305,434,322,772,762,305,13
413,1023,0,255,1023,0,375,374,305,385,322,760,749,305,13
513,1023,0,371,1023,0,589,698,305,565,322,746,721,305,13
401,1023,0,226,1023,0,585,724,305,559,322,750,738,305,13
696,1023,0,535,1023,0,753,919,306,741,323,794,782,305,13
511,1023,0,220,1023,0,602,753,305,575,323,768,761,305,13
428,1023,0,353,1023,0,566,683,305,542,323,755,733,305,13
649,1023,0,404,1023,0,437,441,305,432,324,763,743,305,13
805,1023,0,601,1023,0,859,1023,307,858,324,792,772,305,13
777,1023,0,504,1023,0,638,786,305,619,324,779,770,305,13
757,1023,0,437,1023,0,528,560,305,505,324,834,777,305,13
482,1023,0,391,1023,0,808,1023,306,803,324,768,751,305,13
203,1023,0,144,1023,0,676,871,305,661,325,451,424,305,17
408,1023,0,175,1023,0,329,361,305,341,325,767,746,305,17
335,1023,0,178,1023,0,436,433,305,416,325,754,743,305,17
398,1023,0,217,1023,0,378,373,305,388,326,748,738,305,17
614,1023,0,323,1023,0,722,904,305,710,326,780,766,305,17
397,1023,0,246,1023,0,527,641,305,504,326,752,730,305,17
456,1023,0,255,1023,0,624,775,305,598,327,765,747,305,17
396,1023,0,165,967,0,395,419,305,390,328,474,446,305,17
427,1023,0,358,1023,0,455,474,305,447,328,780,771,305,17
521,1023,0,445,1023,0,366,394,305,377,328,801,787,305,17
266,1023,0,133,1014,0,457,526,305,438,328,518,497,305,17
580,1023,0,379,1023,0,668,831,305,651,329,784,765,305,17
298,1023,0,87,580,0,586,750,305,562,329,447,429,305,17
501,1023,0,314,1023,0,684,867,305,667,330,803,793,305,20
343,1023,0,300,1023,0,576,718,305,549,330,735,731,305,20
529,1023,0,315,1023,0,370,380,305,413,331,788,770,305,20
391,1023,0,175,1023,0,625,766,305,601,332,706,699,305,20
696,1023,0,644,1023,0,378,420,305,442,332,781,770,305,20
636,1023,0,447,1023,0,643,791,305,621,332,785,772,305,20
453,1023,0,151,896,0,305,361,305,354,332,721,708,305,20
513,1023,0,345,1023,0,561,689,305,539,332,759,744,305,20
593,1023,0,366,1023,0,756,948,306,744,333,783,762,305,20
737,1023,0,403,1023,0,787,988,306,781,333,776,758,305,20
681,1023,0,430,1023,0,904,1023,307,909,333,798,781,305,20
515,1023,0,278,1023,0,441,491,305,435,334,767,752,305,20
585,1023,0,571,1023,0,811,1023,306,807,335,780,760,305,23
494,1023,0,257,1023,0,618,776,305,593,335,532,488,305,23
528,1023,0,374,1023,0,488,526,305,463,335,804,773,305,23
640,1023,0,360,1023,0,563,688,305,547,336,816,804,305,23
456,1023,0,303,1023,0,675,858,305,657,336,540,495,305,23
275,1023,0,126,915,0,351,347,305,333,336,426,405,305,23
409,1023,0,261,1023,0,710,911,305,696,336,765,748,305,23
277,1023,0,177,1023,0,578,738,305,558,336,536,513,305,23
740,1023,0,519,1023,0,639,774,305,616,337,786,754,305,23
572,1023,0,400,1023,0,367,387,305,409,337,775,758,305,23
813,1023,0,564,1023,0,585,680,305,565,338,832,792,305,23
357,1023,0,168,1023,0,641,820,305,621,338,770,763,305,23
383,1023,0,288,1023,0,566,712,305,540,338,758,749,305,23
365,1023,0,263,1023,0,531,642,305,500,338,741,723,305,23
730,1023,0,464,1023,0,828,1023,306,823,338,796,778,305,23
727,1023,0,435,1023,0,592,721,305,569,339,768,727,305,26
342,1023,0,138,1023,0,541,674,305,515,339,721,704,305,26
670,1023,0,480,1023,0,410,414,305,422,339,820,771,305,26
514,1023,0,285,1023,0,393,398,305,400,339,765,758,305,26
516,1023,0,304,1023,0,422,410,305,406,340,764,747,305,26
552,1023,0,296,1023,0,814,1023,306,810,340,801,794,305,26
615,1023,0,480,1023,0,763,953,306,752,340,775,764,305,26
287,1023,0,121,908,0,298,348,305,301,340,465,434,305,26
348,1023,0,146,1023,0,606,776,305,578,340,749,740,305,26
751,1023,0,474,1023,0,524,609,305,504,341,765,748,305,26
491,1023,0,240,1023,0,455,488,305,441,341,732,726,305,26
350,1023,0,165,1023,0,691,887,305,672,341,743,740,305,26
243,1023,0,110,820,0,365,352,305,315,341,425,407,305,26
458,1023,0,220,1023,0,387,390,305,395,342,767,753,305,26
305,1023,0,302,1023,0,458,480,305,503,342,525,514,305,26
345,1023,0,160,1023,0,610,779,305,584,342,758,751,305,26
438,1023,0,231,1023,0,678,859,305,661,342,739,729,305,26
442,1023,0,266,1023,0,435,469,305,484,343,820,811,305,30
478,1023,0,237,1023,0,715,899,305,700,343,768,758,305,30
329,1023,0,272,1023,0,340,363,305,325,343,427,414,305,30
660,1023,0,479,1023,0,669,822,305,649,343,805,783,305,30
534,1023,0,221,1023,0,805,1023,306,800,343,761,752,305,30
523,1023,0,424,1023,0,682,839,305,664,343,771,748,305,30
548,1023,0,483,1023,0,723,885,305,711,344,751,749,305,30
568,1023,0,373,1023,0,692,855,305,674,344,768,755,305,30
233,1023,0,96,749,0,587,759,305,565,345,437,426,305,30
825,1023,0,597,1023,0,817,1017,306,814,345,797,780,305,30
514,1023,0,244,1023,0,633,784,305,607,345,775,765,305,30
402,1023,0,159,1023,0,756,970,306,747,345,756,750,305,30
516,1023,0,339,1023,0,608,765,305,586,346,754,744,305,30
584,1023,0,399,1023,0,559,683,305,538,346,770,756,305,33
215,1023,0,169,1023,0,429,478,305,402,346,433,431,305,33
778,1023,0,646,1023,0,647,796,305,628,347,816,797,305,33
647,1023,0,460,1023,0,702,856,305,683,347,778,750,305,33
622,1023,0,349,1023,0,386,404,305,423,348,782,768,305,33
