"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","BL3-A","BL3-H","BL3-W","Event","VL1-A","VL1-H","VL1-W","Time"
476,1023,0,373,1023,0,537,337,305,543,347,305,305,764,750,305,0
483,1023,0,361,1023,0,536,342,305,515,324,305,305,759,741,305,0
406,1023,0,281,1023,0,511,326,305,444,320,305,306,751,725,305,0
545,1023,0,452,1023,0,553,351,305,549,343,305,306,771,741,305,0
260,1023,0,306,1023,0,474,329,305,423,324,305,306,757,742,305,0
491,1023,0,403,1023,0,590,353,305,546,333,305,306,769,745,305,0
666,1023,0,666,1023,0,580,335,305,585,340,305,306,809,740,305,0
372,1023,0,300,1023,0,504,331,305,545,332,305,306,742,728,305,0
482,1023,0,411,1023,0,536,341,305,509,328,305,306,756,729,305,0
377,1023,0,398,1023,0,553,348,305,558,344,305,306,775,738,305,0
381,1023,0,267,1023,0,488,324,305,526,322,305,306,753,739,305,0
319,1023,0,373,1023,0,493,322,305,682,504,305,306,790,770,305,0
506,1023,0,574,1023,0,560,340,305,537,344,305,306,779,748,305,0
385,1023,0,403,1023,0,524,333,305,516,334,305,306,733,717,305,0
356,1023,0,231,1023,0,509,326,305,490,322,305,306,748,728,305,0
458,1023,0,312,1023,0,467,317,305,493,325,305,307,743,717,305,0
416,1023,0,258,1023,0,527,334,305,530,327,305,307,718,697,305,0
392,1023,0,346,1023,0,516,328,305,495,326,305,307,751,721,305,0
442,1023,0,277,1023,0,524,328,305,518,326,305,307,740,723,305,0
379,1023,0,202,1023,0,481,320,305,466,320,305,307,707,696,305,0
417,1023,0,411,1023,0,568,335,305,542,332,305,307,761,737,305,0
316,1023,0,377,1023,0,510,323,305,537,325,305,308,760,746,305,0
602,1023,0,521,1023,0,540,350,305,567,332,305,308,719,692,305,0
396,1023,0,247,1023,0,503,323,305,469,318,305,308,737,720,305,0
277,1023,0,215,1023,0,460,319,305,518,333,305,308,719,706,305,0
306,1023,0,216,1023,0,493,324,305,490,323,305,308,718,704,305,0
515,1023,0,411,1023,0,536,340,305,526,340,305,308,760,749,305,0
430,1023,0,240,1023,0,511,337,305,505,329,305,308,739,726,305,0
410,1023,0,307,1023,0,471,322,305,449,319,305,309,743,717,305,0
371,1023,0,198,1023,0,488,327,305,505,327,305,309,732,722,305,0
476,1023,0,316,1023,0,528,331,305,492,324,305,309,754,733,305,0
399,1023,0,222,1023,0,510,332,305,525,332,305,309,761,736,305,0
338,1023,0,268,1023,0,543,335,305,532,322,305,309,717,677,305,0
523,1023,0,270,1023,0,517,326,305,509,325,305,309,752,739,305,0
319,1023,0,180,1023,0,484,325,305,519,330,305,309,729,707,305,0
505,1023,0,507,1023,0,480,322,305,566,351,305,309,660,590,305,0
491,1023,0,354,1023,0,542,330,305,566,350,305,309,765,744,305,0
452,1023,0,444,1023,0,556,348,305,515,333,305,309,781,759,305,0
310,1023,0,239,1023,0,422,315,305,394,314,305,309,733,722,305,0
521,1023,0,425,1023,0,535,339,305,589,372,305,310,772,745,305,0
660,1023,0,640,1023,0,568,340,305,574,343,305,310,782,732,305,0
298,1023,0,260,1023,0,513,330,305,549,341,305,310,696,674,305,0
487,1023,0,288,1023,0,494,330,305,527,325,305,310,726,713,305,0
596,1023,0,443,1023,0,522,331,305,521,326,305,310,779,745,305,0
412,1023,0,279,1023,0,500,324,305,518,322,305,310,749,733,305,0
327,1023,0,256,1023,0,438,322,305,626,421,305,310,726,705,305,0
503,1023,0,373,1023,0,532,339,305,518,329,305,310,745,708,305,0
400,1023,0,492,1023,0,550,345,305,558,348,305,311,754,733,305,0
483,1023,0,332,1023,0,522,328,305,547,334,305,311,766,727,305,0
383,1023,0,186,1023,0,454,324,305,499,324,305,311,718,708,305,0
437,1023,0,428,1023,0,545,343,305,512,335,305,311,748,727,305,0
520,1023,0,431,1023,0,543,342,305,551,341,305,311,756,731,305,0
397,1023,0,248,1023,0,496,325,305,474,327,305,311,722,686,305,0
475,1023,0,328,1023,0,458,321,305,441,319,305,311,732,713,305,0
362,1023,0,291,1023,0,523,330,305,496,327,305,311,744,727,305,0
425,1023,0,246,1023,0,474,324,305,502,320,305,311,731,719,305,0
358,1023,0,389,1023,0,516,332,305,565,342,305,311,763,728,305,0
454,1023,0,530,1023,0,543,345,305,551,338,305,311,756,739,305,0
486,1023,0,295,1023,0,465,326,305,464,327,305,312,766,746,305,0
436,1023,0,333,1023,0,528,331,305,505,325,305,312,741,719,305,0
348,1023,0,229,1023,0,441,321,305,477,320,305,312,724,708,305,0
430,1023,0,494,1023,0,561,355,305,559,343,305,312,784,765,305,0
