"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","BL2-A","BL3-A","BL3-H","BL3-W","Event","VL1-A","VL1-H","VL1-W","VL3-A","VL3-H","VL3-W","Time"
2.87971e+06,2.70944e+06,35,3.80702e+06,3.45717e+06,61,-3531,4334,0,2998,26849,6580,0,1,-4255,472,0,2615,2593,0,0
2.4418e+06,2.23907e+06,29,2.1043e+06,2.02045e+06,56,-2015,5800,0,-2125,765,254,0,3,17637,14191,11,3217,2543,0,0
2.86355e+06,2.72621e+06,34,3.06827e+06,2.77483e+06,68,-1049,6976,0,-1986,780,244,0,4,-1321,1333,0,547,1557,0,0
3.97858e+06,3.41413e+06,41,5.37881e+06,4.83767e+06,61,-5379,8806,0,2837,-116,27,0,7,11757,8047,0,4480,2660,0,0
3.76898e+06,3.11983e+06,39,4.8066e+06,4.4359e+06,64,10484,15554,18,10704,-69,59,0,8,8594,4259,0,2622,3084,0,0
3.1475e+06,2.97862e+06,38,2.49865e+06,2.24471e+06,73,-2686,7960,0,2819,-121,45,0,9,1729,2736,0,1354,1795,0,0
2.93108e+06,2.82494e+06,37,3.74713e+06,3.46027e+06,77,-11441,4875,0,-3186,-12790,0,0,11,-2901,1317,0,2758,1868,0,0
2.40003e+06,2.33043e+06,31,2.64862e+06,2.6722e+06,54,-3202,7401,0,-8389,-839,0,0,12,-4487,750,0,-563,1239,0,0
3.11017e+06,2.96915e+06,38,3.74344e+06,3.45188e+06,75,2918,15702,9,-2441,28791,6031,0,13,-1178,2133,0,1304,1703,0,0
2.44992e+06,2.44005e+06,29,2.98859e+06,3.06134e+06,45,-16253,988,0,-2935,17819,5330,0,14,-1554,1671,0,589,1118,0,0
3.32823e+06,3.1133e+06,39,5.11682e+06,4.51391e+06,78,-4207,7860,0,-8716,1358,350,0,16,1985,3523,0,2345,3448,0,0
2.56764e+06,2.54271e+06,29,2.58542e+06,2.45014e+06,55,-3528,8807,0,612,713,281,0,17,5505,4953,0,4290,4643,0,0
2.31007e+06,2.54634e+06,25,4.11366e+06,4.08357e+06,49,3906,7279,0,48,-222,0,0,25,3041,2170,0,3513,1467,0,0
3.21083e+06,3.01385e+06,40,3.07838e+06,2.69174e+06,79,-22756,5436,0,-2603,-191,3,0,27,-629,5938,0,644,2212,0,0
2.36178e+06,2.34572e+06,29,2.43244e+06,2.30057e+06,56,-11824,2480,0,-3714,-103,19,0,28,-5590,379,0,-803,1297,0,0
3.31902e+06,3.01971e+06,41,3.13223e+06,2.83208e+06,73,-17451,7272,0,-8843,-156,98,0,29,-3602,1402,0,1907,2219,0,0
3.02322e+06,2.759e+06,38,4.27646e+06,4.10001e+06,63,-13131,11355,4,707,-125,39,0,30,-2407,1304,0,223,1527,0,0
2.62343e+06,2.54387e+06,36,4.25504e+06,4.12049e+06,61,-5894,6693,0,9891,-19,64,0,31,-669,1988,0,400,1457,0,0
2.30837e+06,2.24331e+06,31,4.31764e+06,3.9925e+06,62,-1316,8909,0,-3919,-223,33,0,32,-465,1690,0,-1025,294,0,0
3.06295e+06,3.00727e+06,32,4.17689e+06,3.95985e+06,56,-13142,8573,0,1351,-500,0,0,34,-143,2129,0,1312,943,0,0
2.70537e+06,2.57419e+06,31,4.08861e+06,3.85713e+06,57,-7646,1883,0,-2545,-1873,0,0,38,-349,2708,0,1312,1395,0,0
2.88433e+06,2.81107e+06,35,2.14281e+06,2.034e+06,63,699,9120,0,-6309,335,155,0,42,-2906,1143,0,-709,963,0,0
3.00505e+06,2.91352e+06,38,4.32319e+06,3.89792e+06,72,-10876,11804,6,-2342,-126,51,0,50,156,4843,0,2631,1263,0,0
2.84506e+06,2.69122e+06,36,3.44888e+06,3.40347e+06,57,-5524,6441,0,-4644,-39,100,0,52,-1081,1666,0,-563,973,0,0
2.84822e+06,2.70045e+06,34,3.55063e+06,3.30609e+06,57,-2618,9929,0,2794,-9855,0,0,56,3781,2298,0,3472,1597,0,0
2.56094e+06,2.45528e+06,37,2.9324e+06,2.77277e+06,66,6792,8318,0,5325,-1007,0,0,59,9192,3967,0,-134,521,0,0
3.15895e+06,3.02522e+06,37,5.17092e+06,4.90245e+06,70,5623,10687,5,1934,29802,6617,0,61,12191,6319,0,-664,1134,0,0
3.14658e+06,2.75759e+06,34,4.61585e+06,4.51744e+06,54,-3059,8366,0,810,28430,7847,0,62,-104,2668,0,1878,2636,0,0
2.61103e+06,2.53078e+06,34,3.3453e+06,3.09954e+06,61,11616,11107,7,6206,301,118,0,64,8858,4599,0,365,1116,0,0
2.89109e+06,2.69959e+06,35,3.47099e+06,3.11438e+06,71,5345,7878,0,-5478,-138,21,0,65,-1635,1331,0,2367,1670,0,0
2.80738e+06,2.66275e+06,36,3.9089e+06,3.76063e+06,64,-1527,6077,0,-3776,-150,9,0,68,5455,5728,0,4785,2988,0,0
3.53998e+06,3.18777e+06,41,4.06212e+06,3.80824e+06,60,4244,18264,15,3826,-187,57,0,71,10286,9711,0,1916,1159,0,0
2.48521e+06,2.46995e+06,29,3.0018e+06,2.74732e+06,64,-3594,6776,0,-4504,-297,0,0,72,-2744,1162,0,-799,567,0,0
3.36539e+06,3.10482e+06,42,5.53644e+06,4.88448e+06,79,-10559,5293,0,-5191,-906,0,0,73,2568,3472,0,1135,2313,0,0
