"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","BL2-A","BL3-A","BL3-H","BL3-W","Event","VL1-A","VL1-H","VL1-W","VL3-A","VL3-H","VL3-W","Time"
3.63631e+06,3.31947e+06,41,5.13839e+06,8.30532e+06,72,153178,145594,50,74355,-223,16,0,5,1.20475e+06,1.04375e+06,68,90180,77991,25,0
2.02832e+06,1.96328e+06,26,2.84837e+06,2.72492e+06,53,16097,12794,12,-1418,-138,19,0,20,50815,40000,23,5396,4389,0,0
3.11047e+06,2.84449e+06,37,5.46419e+06,8.2911e+06,60,124658,157463,26,70081,-1923,0,0,132,354339,327875,44,44117,38378,20,0
3.09362e+06,3.04074e+06,37,2.27869e+06,2.20992e+06,60,9412,7981,0,4516,-127,32,0,147,75528,67106,24,10750,6043,0,0
2.67665e+06,2.51491e+06,33,4.60414e+06,4.14915e+06,66,69497,91252,25,35641,-147,70,0,182,40008,37634,20,18798,17205,14,0
2.37837e+06,2.33777e+06,32,1.87204e+06,1.74919e+06,57,2824,7665,0,3190,-254,20,0,233,63061,57634,22,5475,4187,0,0
2.72924e+06,2.54839e+06,32,5.10236e+06,8.32984e+06,66,98371,123506,28,62411,19460,4769,0,243,263332,234436,35,40013,34925,20,0
3.321e+06,3.19419e+06,40,5.15075e+06,4.87467e+06,62,21090,20415,22,16657,22154,4622,0,428,30685,18075,16,27064,25132,17,0
2.34578e+06,2.21575e+06,30,1.87326e+06,1.77207e+06,55,4962,13988,13,-2301,-274,13,0,478,119625,105266,27,8901,7633,0,0
3.74071e+06,3.46249e+06,44,4.44197e+06,8.23694e+06,69,80921,108718,23,54032,14579,3024,0,482,565961,518959,51,87120,79283,24,0
3.77912e+06,3.50927e+06,43,4.69593e+06,8.26103e+06,66,223072,216054,49,101716,-28764,0,0,562,1.64518e+06,1.48796e+06,70,108844,97871,25,1.03409
3.26599e+06,3.07505e+06,40,5.58381e+06,8.3116e+06,73,40597,33874,29,26235,-9731,0,0,664,215803,196063,32,77544,70358,24,1.03409
4.01933e+06,3.56806e+06,44,4.98324e+06,8.26992e+06,66,23697,15192,25,17237,29,46,0,666,78588,59540,27,41414,37910,21,1.03409
3.25622e+06,3.0443e+06,39,4.17713e+06,3.70684e+06,74,26010,13568,17,10923,-38633,0,0,857,34532,17710,17,860,2493,0,1.03409
3.04981e+06,2.73623e+06,40,3.93056e+06,7.9327e+06,62,634311,579710,50,273348,14908,3661,0,863,991216,892927,61,97835,83283,26,1.03409
3.54051e+06,3.32622e+06,42,5.1087e+06,8.32709e+06,78,19956,22681,16,16647,-250,0,0,872,27828,20245,17,22394,19461,16,1.03409
2.30956e+06,2.29067e+06,34,3.78357e+06,3.57542e+06,66,43588,44005,24,29323,-107,47,0,913,28391,19352,15,28685,25380,17,1.03409
2.62947e+06,2.4232e+06,32,4.44872e+06,8.16567e+06,64,119886,124532,39,63398,-282,0,0,916,931889,848945,58,83466,75878,24,1.03409
2.47584e+06,2.38412e+06,34,1.95893e+06,1.85033e+06,64,8200,10267,2,2526,-255,0,0,977,42234,34675,21,2020,1529,0,1.03409
2.69887e+06,2.67357e+06,36,2.33028e+06,2.17121e+06,64,15239,21899,21,9809,-166,37,0,986,40760,35550,21,4279,5108,0,1.03409
2.74871e+06,2.62541e+06,38,2.44383e+06,2.26672e+06,63,-1158,9327,0,2836,-35486,0,0,988,62640,51194,23,3344,4083,0,1.03409
3.59884e+06,3.31356e+06,41,5.15034e+06,8.34642e+06,69,57597,81610,23,39286,-24887,0,0,989,322848,296922,42,61284,55831,21,1.03409
3.2496e+06,3.02249e+06,42,3.78259e+06,3.39928e+06,72,17552,12671,9,7296,29837,6518,0,996,82821,64258,28,4856,3905,0,1.03409
3.31064e+06,2.81486e+06,34,4.11318e+06,3.93147e+06,54,4166,14211,15,3059,-17527,0,0,1042,34300,23590,20,5312,3687,0,2.06818
3.80468e+06,3.39245e+06,42,4.62332e+06,8.17569e+06,67,94555,95337,39,57515,-286,16,0,1057,629094,561266,56,87010,74336,25,2.06818
4.06113e+06,3.72959e+06,43,4.73609e+06,8.25478e+06,77,22009,25792,21,14879,7358,1547,0,1127,115380,97777,27,52233,42984,23,2.06818
2.23652e+06,2.23877e+06,31,3.55375e+06,3.60809e+06,49,13226,18558,15,15228,4151,1088,0,1140,98394,96119,23,30520,27936,18,2.06818
2.61617e+06,2.3379e+06,34,3.22973e+06,2.908e+06,63,32113,35217,25,18583,-1578,0,0,1181,41524,35639,22,12842,11703,8,2.06818
3.73067e+06,3.43485e+06,41,3.55236e+06,3.38402e+06,70,21001,22413,23,30973,-1765,0,0,1202,27269,22780,17,56009,50337,22,2.06818
2.58073e+06,2.61211e+06,27,2.9577e+06,2.63273e+06,57,4324,12481,3,1855,-58,47,0,1385,30249,23015,20,5022,4126,0,2.06818
2.73799e+06,2.5089e+06,33,4.30004e+06,3.61761e+06,68,29473,30307,25,15055,24338,5979,0,1391,38290,27800,22,15144,12825,9,2.06818
2.94863e+06,2.85576e+06,34,4.47187e+06,3.99356e+06,64,18122,14699,13,-2835,-15711,0,0,1421,58273,43593,25,3095,3234,0,2.06818
3.27304e+06,2.97754e+06,39,5.44585e+06,8.34449e+06,67,68115,78718,28,47032,266,120,0,1487,578836,526456,55,80674,71498,24,3.10227
3.23384e+06,3.04107e+06,38,3.59609e+06,7.94767e+06,62,113783,141906,26,71425,1999,482,0,1500,774142,705543,55,88397,79616,24,3.10227
3.75166e+06,3.55717e+06,41,4.12411e+06,3.7009e+06,83,18464,18076,16,1249,1026,291,0,1516,33504,21619,19,3458,2810,0,3.10227
2.64767e+06,2.37018e+06,30,2.86624e+06,2.94775e+06,48,-3752,5252,0,912,-264,7,0,1606,26977,22036,18,5657,3439,0,3.10227
2.01631e+06,2.04328e+06,26,1.90937e+06,2.01959e+06,39,2928,9203,0,921,-830,0,0,1628,92822,79406,26,7350,5172,0,3.10227
3.2749e+06,2.91013e+06,37,4.19199e+06,8.0959e+06,64,67729,67357,29,35821,-19,67,0,1631,258023,225803,38,78099,66180,25,3.10227
3.37164e+06,3.04516e+06,38,2.50899e+06,2.34508e+06,54,6219,14994,18,1950,-2589,0,0,1725,41109,29769,21,2983,3189,0,3.10227
2.31086e+06,2.23375e+06,31,2.30099e+06,2.34958e+06,50,5714,8458,0,-814,359,132,0,1728,34512,27958,20,3629,3351,0,3.10227
3.02271e+06,2.56454e+06,36,4.58432e+06,3.8542e+06,68,38474,51110,23,58618,1026,286,0,1780,27524,24308,19,94332,80560,26,3.10227
2.97161e+06,2.91251e+06,38,2.20723e+06,2.16821e+06,60,19766,18361,13,6172,-4437,0,0,1823,29201,20537,16,2346,1781,0,3.10227
4.0149e+06,3.16705e+06,58,5.38764e+06,8.28216e+06,69,92754,105439,39,97443,-26935,0,0,1840,191292,145267,45,137609,121342,26,3.10227
3.1862e+06,3.34642e+06,27,4.03769e+06,8.17735e+06,51,144650,147425,38,74314,-115,21,0,1951,862780,790012,54,70191,64136,23,4.13636
2.06597e+06,1.9781e+06,30,1.97301e+06,1.53496e+06,69,12618,7821,0,6960,31008,7848,0,1981,53349,43153,24,3997,4262,0,4.13636
2.56612e+06,2.353e+06,32,3.2394e+06,2.84278e+06,66,-556,5134,0,-1645,-32741,0,0,1996,27959,16585,16,671,1854,0,4.13636
3.01214e+06,2.73379e+06,35,3.94511e+06,7.96223e+06,61,71118,60480,37,38066,-229,39,0,2008,361752,320480,47,49847,46577,21,4.13636
1.93007e+06,1.85588e+06,26,3.09083e+06,3.09453e+06,43,20752,13970,14,13894,1533,555,0,2088,26145,19128,17,18407,16521,13,4.13636
2.62239e+06,2.61016e+06,36,2.08281e+06,1.8998e+06,67,8951,10796,5,3641,-2119,0,0,2123,26687,23146,17,3754,3592,0,4.13636
2.69189e+06,2.68678e+06,36,3.51054e+06,3.45919e+06,66,4996,8970,0,10678,-197,27,0,2140,34060,25424,20,8757,4831,0,4.13636
